checking_account_status,duration_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,target,default_risk,risk_label
0-200 DM,7,Existing credits paid back duly,Radio/television,2576,< 100 DM,1-4 years,2,A93,A103,2,Real estate,35,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,12,Existing credits paid back duly,Furniture/equipment,1424,Unknown / no savings,>= 7 years,3,A92,A101,4,Real estate,55,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,15,Delay in past payments,Repairs,1512,>= 1000 DM,1-4 years,3,A94,A101,3,Savings/life insurance,61,A142,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,36,Critical account / other credits,Used car,11054,Unknown / no savings,1-4 years,4,A93,A101,2,Car or other,30,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,6,Existing credits paid back duly,Radio/television,518,< 100 DM,1-4 years,3,A92,A101,1,Real estate,29,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,No credits / paid back duly,Furniture/equipment,2759,< 100 DM,>= 7 years,2,A93,A101,4,Savings/life insurance,34,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Used car,2670,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,35,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,New car,4817,< 100 DM,4-7 years,2,A93,A102,3,Savings/life insurance,31,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,Used car,2679,< 100 DM,< 1 year,4,A92,A101,1,Unknown / no property,29,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,11,Critical account / other credits,New car,3905,< 100 DM,1-4 years,2,A93,A101,2,Real estate,36,A143,Rent,2,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Used car,3386,< 100 DM,>= 7 years,3,A93,A101,4,Unknown / no property,35,A143,Free,1,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,6,Existing credits paid back duly,Domestic appliances,343,< 100 DM,< 1 year,4,A92,A101,1,Real estate,27,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Radio/television,4594,< 100 DM,< 1 year,3,A93,A101,2,Car or other,32,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,Furniture/equipment,3620,< 100 DM,1-4 years,1,A93,A103,2,Savings/life insurance,37,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,15,Existing credits paid back duly,New car,1721,< 100 DM,< 1 year,2,A93,A101,3,Real estate,36,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Furniture/equipment,3017,< 100 DM,< 1 year,3,A92,A101,1,Real estate,34,A143,Rent,1,Management / self-employed,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Retraining,754,Unknown / no savings,>= 7 years,4,A93,A101,4,Savings/life insurance,38,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Business,1950,< 100 DM,4-7 years,4,A93,A101,1,Car or other,34,A142,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Used car,2924,< 100 DM,1-4 years,3,A93,A103,4,Unknown / no property,63,A141,Own,1,Skilled employee,2,A192,A201,1,0,Good Credit
< 0 DM,24,Delay in past payments,Radio/television,1659,< 100 DM,< 1 year,4,A92,A101,2,Car or other,29,A143,Rent,1,Unskilled resident,1,A192,A201,2,1,Bad Credit
No checking account,48,Delay in past payments,Radio/television,7238,Unknown / no savings,>= 7 years,3,A93,A101,3,Car or other,32,A141,Own,2,Skilled employee,2,A191,A201,1,0,Good Credit
No checking account,33,Delay in past payments,Business,2764,< 100 DM,1-4 years,2,A92,A101,2,Car or other,26,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,24,Delay in past payments,Used car,4679,< 100 DM,4-7 years,3,A93,A101,3,Car or other,35,A143,Own,2,Unskilled resident,1,A192,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,Radio/television,3092,100-500 DM,< 1 year,3,A94,A101,2,Car or other,22,A143,Rent,1,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,6,Existing credits paid back duly,Education,448,< 100 DM,< 1 year,4,A92,A101,4,Savings/life insurance,23,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,9,Existing credits paid back duly,New car,654,< 100 DM,1-4 years,4,A93,A101,3,Car or other,28,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,6,Existing credits paid back duly,Retraining,1238,Unknown / no savings,Unemployed,4,A93,A101,4,Savings/life insurance,36,A143,Own,1,Management / self-employed,2,A192,A201,1,0,Good Credit
0-200 DM,18,Critical account / other credits,Radio/television,1245,< 100 DM,1-4 years,4,A94,A101,2,Car or other,33,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,18,No credits / paid back duly,Furniture/equipment,3114,< 100 DM,< 1 year,1,A92,A101,4,Savings/life insurance,26,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,39,Existing credits paid back duly,Used car,2569,500-1000 DM,1-4 years,4,A93,A101,4,Car or other,24,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,24,Existing credits paid back duly,Radio/television,5152,< 100 DM,4-7 years,4,A93,A101,2,Car or other,25,A141,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Business,1037,100-500 DM,4-7 years,3,A93,A101,4,Real estate,39,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,15,Critical account / other credits,Furniture/equipment,1478,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,44,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
0-200 DM,12,Critical account / other credits,Radio/television,3573,< 100 DM,1-4 years,1,A92,A101,1,Real estate,23,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,New car,1201,< 100 DM,< 1 year,4,A93,A101,1,Savings/life insurance,26,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,30,Existing credits paid back duly,Furniture/equipment,3622,>= 1000 DM,>= 7 years,4,A92,A101,4,Savings/life insurance,57,A143,Rent,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,15,Delay in past payments,Furniture/equipment,960,>= 1000 DM,4-7 years,3,A92,A101,2,Savings/life insurance,30,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,New car,1163,500-1000 DM,1-4 years,4,A93,A101,4,Real estate,44,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,6,Delay in past payments,New car,1209,< 100 DM,Unemployed,4,A93,A101,4,Savings/life insurance,47,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,Radio/television,3077,< 100 DM,1-4 years,2,A93,A101,4,Car or other,52,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,New car,3757,< 100 DM,>= 7 years,4,A92,A102,4,Unknown / no property,62,A143,Free,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,10,Existing credits paid back duly,New car,1418,100-500 DM,1-4 years,3,A93,A101,2,Real estate,35,A143,Rent,1,Unskilled resident,1,A191,A202,1,0,Good Credit
No checking account,6,Existing credits paid back duly,New car,3518,< 100 DM,1-4 years,2,A93,A103,3,Savings/life insurance,26,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Radio/television,1934,< 100 DM,>= 7 years,2,A93,A101,2,Unknown / no property,26,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,27,No credits / paid back duly,Business,8318,< 100 DM,>= 7 years,2,A92,A101,4,Unknown / no property,42,A143,Free,2,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,6,Critical account / other credits,Radio/television,1237,100-500 DM,1-4 years,1,A92,A101,1,Savings/life insurance,27,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,6,Existing credits paid back duly,Radio/television,368,Unknown / no savings,>= 7 years,4,A93,A101,4,Savings/life insurance,38,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Critical account / other credits,New car,2122,< 100 DM,1-4 years,3,A93,A101,2,Real estate,39,A143,Rent,2,Unskilled resident,2,A191,A202,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Furniture/equipment,2996,Unknown / no savings,1-4 years,2,A94,A101,4,Car or other,20,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,36,Existing credits paid back duly,Furniture/equipment,9034,100-500 DM,< 1 year,4,A93,A102,1,Unknown / no property,29,A143,Rent,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Furniture/equipment,1585,< 100 DM,4-7 years,4,A93,A101,3,Savings/life insurance,40,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,Radio/television,1301,< 100 DM,>= 7 years,4,A94,A103,2,Real estate,32,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
>= 200 DM,6,Critical account / other credits,New car,1323,100-500 DM,>= 7 years,2,A91,A101,4,Car or other,28,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,New car,3123,< 100 DM,< 1 year,4,A92,A101,1,Savings/life insurance,27,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,36,Existing credits paid back duly,Used car,5493,< 100 DM,>= 7 years,2,A93,A101,4,Unknown / no property,42,A143,Free,1,Skilled employee,2,A191,A201,1,0,Good Credit
>= 200 DM,9,Existing credits paid back duly,Radio/television,1126,100-500 DM,>= 7 years,2,A91,A101,4,Real estate,49,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,24,Critical account / other credits,Radio/television,1216,100-500 DM,< 1 year,4,A93,A101,4,Unknown / no property,38,A141,Own,2,Skilled employee,2,A191,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,New car,1207,< 100 DM,< 1 year,4,A92,A101,4,Savings/life insurance,24,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,10,Existing credits paid back duly,New car,1309,Unknown / no savings,1-4 years,4,A93,A103,4,Savings/life insurance,27,A143,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
>= 200 DM,15,Critical account / other credits,Used car,2360,500-1000 DM,1-4 years,2,A93,A101,2,Car or other,36,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,15,All credits at this bank paid back,New car,6850,100-500 DM,Unemployed,1,A93,A101,2,Savings/life insurance,34,A143,Own,1,Management / self-employed,2,A192,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,Radio/television,1413,< 100 DM,1-4 years,4,A94,A101,2,Savings/life insurance,28,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,39,Existing credits paid back duly,Used car,8588,100-500 DM,>= 7 years,4,A93,A101,2,Car or other,45,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,New car,759,< 100 DM,4-7 years,4,A93,A101,2,Real estate,26,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,36,Existing credits paid back duly,Used car,4686,< 100 DM,1-4 years,2,A93,A101,2,Unknown / no property,32,A143,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
>= 200 DM,15,Existing credits paid back duly,Business,2687,< 100 DM,4-7 years,2,A93,A101,4,Savings/life insurance,26,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,12,Delay in past payments,Radio/television,585,< 100 DM,1-4 years,4,A94,A102,4,Real estate,20,A143,Rent,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,New car,2255,Unknown / no savings,< 1 year,4,A93,A101,1,Savings/life insurance,54,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,6,Critical account / other credits,New car,609,< 100 DM,4-7 years,4,A92,A101,3,Savings/life insurance,37,A143,Own,2,Skilled employee,1,A191,A202,1,0,Good Credit
< 0 DM,6,Critical account / other credits,New car,1361,< 100 DM,< 1 year,2,A93,A101,4,Real estate,40,A143,Own,1,Unskilled resident,2,A191,A202,1,0,Good Credit
No checking account,36,Critical account / other credits,Furniture/equipment,7127,< 100 DM,< 1 year,2,A92,A101,4,Savings/life insurance,23,A143,Rent,2,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,6,Existing credits paid back duly,New car,1203,100-500 DM,>= 7 years,3,A93,A101,2,Savings/life insurance,43,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,6,Critical account / other credits,Radio/television,700,Unknown / no savings,>= 7 years,4,A93,A101,4,Unknown / no property,36,A143,Free,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Repairs,5507,< 100 DM,>= 7 years,3,A93,A101,4,Unknown / no property,44,A143,Free,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Radio/television,3190,< 100 DM,1-4 years,2,A92,A101,2,Real estate,24,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,48,No credits / paid back duly,Furniture/equipment,7119,< 100 DM,1-4 years,3,A93,A101,4,Unknown / no property,53,A143,Free,2,Skilled employee,2,A191,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,Used car,3488,100-500 DM,4-7 years,3,A92,A101,4,Car or other,23,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,Radio/television,1113,< 100 DM,1-4 years,4,A92,A103,4,Real estate,26,A143,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
0-200 DM,26,Existing credits paid back duly,Used car,7966,< 100 DM,< 1 year,2,A93,A101,3,Car or other,30,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,15,Critical account / other credits,Education,1532,100-500 DM,1-4 years,4,A92,A101,3,Car or other,31,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,4,Critical account / other credits,Radio/television,1503,< 100 DM,4-7 years,2,A93,A101,1,Real estate,42,A143,Own,2,Unskilled resident,2,A191,A201,1,0,Good Credit
< 0 DM,36,Existing credits paid back duly,Radio/television,2302,< 100 DM,1-4 years,4,A91,A101,4,Car or other,31,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,6,Existing credits paid back duly,New car,662,< 100 DM,< 1 year,3,A93,A101,4,Real estate,41,A143,Own,1,Unskilled resident,2,A192,A201,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,Education,2273,< 100 DM,4-7 years,3,A93,A101,1,Car or other,32,A143,Own,2,Skilled employee,2,A191,A201,1,0,Good Credit
0-200 DM,15,Existing credits paid back duly,New car,2631,100-500 DM,1-4 years,2,A92,A101,4,Car or other,28,A143,Rent,2,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,12,Delay in past payments,Used car,1503,< 100 DM,1-4 years,4,A94,A101,4,Real estate,41,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Radio/television,1311,100-500 DM,4-7 years,4,A94,A101,3,Savings/life insurance,26,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Radio/television,3105,Unknown / no savings,< 1 year,4,A93,A101,2,Car or other,25,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,21,Critical account / other credits,Education,2319,< 100 DM,< 1 year,2,A91,A101,1,Car or other,33,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,6,Existing credits paid back duly,New car,1374,Unknown / no savings,Unemployed,4,A92,A101,3,Savings/life insurance,75,A143,Own,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,18,Critical account / other credits,Furniture/equipment,3612,< 100 DM,>= 7 years,3,A92,A101,4,Savings/life insurance,37,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,48,Existing credits paid back duly,New car,7763,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,42,A141,Free,1,Management / self-employed,1,A191,A201,2,1,Bad Credit
>= 200 DM,18,Existing credits paid back duly,Furniture/equipment,3049,< 100 DM,< 1 year,1,A92,A101,1,Savings/life insurance,45,A142,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,1534,< 100 DM,< 1 year,1,A94,A101,1,Real estate,23,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,Delay in past payments,New car,2032,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,60,A143,Free,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,30,Existing credits paid back duly,Furniture/equipment,6350,Unknown / no savings,>= 7 years,4,A93,A101,4,Savings/life insurance,31,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
>= 200 DM,18,Existing credits paid back duly,Furniture/equipment,2864,< 100 DM,1-4 years,2,A93,A101,1,Real estate,34,A143,Own,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
No checking account,12,Critical account / other credits,New car,1255,< 100 DM,>= 7 years,4,A93,A101,4,Real estate,61,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,24,Delay in past payments,New car,1333,< 100 DM,Unemployed,4,A93,A101,2,Real estate,43,A143,Free,2,Skilled employee,2,A191,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,New car,2022,< 100 DM,1-4 years,4,A92,A101,4,Car or other,37,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Radio/television,1552,< 100 DM,4-7 years,3,A93,A101,1,Car or other,32,A141,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,12,All credits at this bank paid back,Radio/television,626,< 100 DM,1-4 years,4,A92,A101,4,Real estate,24,A141,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,48,Critical account / other credits,Used car,8858,Unknown / no savings,4-7 years,2,A93,A101,1,Unknown / no property,35,A143,Free,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Repairs,996,Unknown / no savings,4-7 years,4,A92,A101,4,Real estate,23,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,6,All credits at this bank paid back,Radio/television,1750,500-1000 DM,>= 7 years,2,A93,A101,4,Savings/life insurance,45,A141,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
< 0 DM,48,Existing credits paid back duly,Radio/television,6999,< 100 DM,4-7 years,1,A94,A103,1,Real estate,34,A143,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,12,Critical account / other credits,New car,1995,100-500 DM,< 1 year,4,A93,A101,1,Car or other,27,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,9,Existing credits paid back duly,Education,1199,< 100 DM,4-7 years,4,A92,A101,4,Savings/life insurance,67,A143,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,1331,< 100 DM,< 1 year,2,A93,A101,1,Car or other,22,A142,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,18,No credits / paid back duly,New car,2278,100-500 DM,< 1 year,3,A92,A101,3,Car or other,28,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,21,No credits / paid back duly,New car,5003,Unknown / no savings,1-4 years,1,A92,A101,4,Savings/life insurance,29,A141,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,24,All credits at this bank paid back,Furniture/equipment,3552,< 100 DM,4-7 years,3,A93,A101,4,Car or other,27,A141,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,18,Critical account / other credits,Furniture/equipment,1928,< 100 DM,< 1 year,2,A93,A101,2,Real estate,31,A143,Own,2,Unskilled resident,1,A191,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,Used car,2964,Unknown / no savings,>= 7 years,4,A93,A101,4,Unknown / no property,49,A141,Free,1,Skilled employee,2,A192,A201,1,0,Good Credit
< 0 DM,24,All credits at this bank paid back,Radio/television,1546,< 100 DM,4-7 years,4,A93,A103,4,Car or other,24,A141,Rent,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
>= 200 DM,6,Delay in past payments,Radio/television,683,< 100 DM,< 1 year,2,A92,A101,1,Savings/life insurance,29,A141,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,New car,12389,Unknown / no savings,1-4 years,1,A93,A101,4,Unknown / no property,37,A143,Free,1,Skilled employee,1,A192,A201,2,1,Bad Credit
0-200 DM,24,Delay in past payments,Business,4712,Unknown / no savings,1-4 years,4,A93,A101,2,Savings/life insurance,37,A141,Own,2,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,24,Delay in past payments,Radio/television,1553,100-500 DM,4-7 years,3,A92,A101,2,Savings/life insurance,23,A143,Rent,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,New car,1372,< 100 DM,4-7 years,2,A91,A101,3,Car or other,36,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Radio/television,2578,>= 1000 DM,>= 7 years,2,A93,A101,2,Car or other,34,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,48,Existing credits paid back duly,Radio/television,3979,Unknown / no savings,4-7 years,4,A93,A101,1,Car or other,41,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
< 0 DM,48,Existing credits paid back duly,Radio/television,6758,< 100 DM,1-4 years,3,A92,A101,2,Car or other,31,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,Furniture/equipment,3234,< 100 DM,< 1 year,4,A92,A101,4,Real estate,23,A143,Rent,1,Unskilled resident,1,A192,A201,2,1,Bad Credit
No checking account,30,Critical account / other credits,Radio/television,5954,< 100 DM,4-7 years,3,A93,A102,2,Car or other,38,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Used car,5433,Unknown / no savings,Unemployed,2,A92,A101,4,Savings/life insurance,26,A143,Rent,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,15,Existing credits paid back duly,Business,806,< 100 DM,1-4 years,4,A92,A101,4,Savings/life insurance,22,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,9,Existing credits paid back duly,Radio/television,1082,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,27,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,15,Critical account / other credits,Furniture/equipment,2788,< 100 DM,4-7 years,2,A92,A102,3,Car or other,24,A141,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,2930,< 100 DM,4-7 years,2,A92,A101,1,Real estate,27,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Education,1927,Unknown / no savings,1-4 years,3,A92,A101,2,Car or other,33,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,36,Critical account / other credits,New car,2820,< 100 DM,< 1 year,4,A91,A101,4,Car or other,27,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,Retraining,937,< 100 DM,< 1 year,4,A94,A101,3,Car or other,27,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,18,Critical account / other credits,New car,1056,< 100 DM,>= 7 years,3,A93,A103,3,Real estate,30,A141,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,12,Critical account / other credits,New car,3124,< 100 DM,< 1 year,1,A93,A101,3,Real estate,49,A141,Own,2,Unskilled resident,2,A191,A201,1,0,Good Credit
No checking account,9,Existing credits paid back duly,Furniture/equipment,1388,< 100 DM,1-4 years,4,A92,A101,2,Real estate,26,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,Repairs,2384,< 100 DM,< 1 year,4,A93,A101,1,Unknown / no property,33,A143,Rent,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,New car,2133,Unknown / no savings,>= 7 years,4,A92,A101,4,Unknown / no property,52,A143,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Furniture/equipment,2039,< 100 DM,1-4 years,1,A92,A101,4,Real estate,20,A141,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,9,Critical account / other credits,New car,2799,< 100 DM,1-4 years,2,A93,A101,2,Real estate,36,A143,Rent,2,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,1289,< 100 DM,1-4 years,4,A93,A103,1,Savings/life insurance,21,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Domestic appliances,1217,< 100 DM,1-4 years,4,A94,A101,3,Real estate,47,A143,Own,1,Unskilled resident,1,A192,A201,2,1,Bad Credit
< 0 DM,12,Critical account / other credits,Furniture/equipment,2246,< 100 DM,>= 7 years,3,A93,A101,3,Savings/life insurance,60,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,12,Critical account / other credits,Radio/television,385,< 100 DM,4-7 years,4,A92,A101,3,Real estate,58,A143,Own,4,Unskilled resident,1,A192,A201,1,0,Good Credit
0-200 DM,24,Delay in past payments,New car,1965,Unknown / no savings,1-4 years,4,A92,A101,4,Car or other,42,A143,Rent,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,21,Existing credits paid back duly,Business,1572,>= 1000 DM,>= 7 years,4,A92,A101,4,Real estate,36,A141,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,New car,2718,< 100 DM,1-4 years,3,A92,A101,4,Savings/life insurance,20,A143,Rent,1,Unskilled resident,1,A192,A201,2,1,Bad Credit
< 0 DM,24,All credits at this bank paid back,Other,1358,Unknown / no savings,>= 7 years,4,A93,A101,3,Car or other,40,A142,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
0-200 DM,6,All credits at this bank paid back,New car,931,100-500 DM,< 1 year,1,A92,A101,1,Savings/life insurance,32,A142,Own,1,Unskilled resident,1,A191,A201,2,1,Bad Credit
